INFO 2025-06-27 16:52:04,028 autoreload 7976 6108 Watching for file changes with StatReloader
INFO 2025-06-27 17:14:04,551 basehttp 5484 11568 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:14:09,850 basehttp 5484 11684 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 17:14:09,858 basehttp 5484 11684 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:14:10,182 views 5484 11568 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:14:10,183 basehttp 5484 6060 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:14:10,184 basehttp 5484 11684 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:14:10,186 basehttp 5484 6180 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:14:10,186 basehttp 5484 11568 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:14:10,205 views 5484 11568 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:14:10,207 basehttp 5484 11684 "GET /api/rooms/ HTTP/1.1" 200 2
INFO 2025-06-27 17:14:10,208 basehttp 5484 6060 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:14:10,209 basehttp 5484 6180 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:14:10,209 basehttp 5484 11568 "GET /api/guests/ HTTP/1.1" 200 2
INFO 2025-06-27 17:15:39,990 basehttp 5484 11684 "POST /api/auth/token/ HTTP/1.1" 200 483
INFO 2025-06-27 17:15:39,997 basehttp 5484 11684 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:15:41,158 basehttp 5484 6180 "GET /api/bookings/ HTTP/1.1" 200 2
INFO 2025-06-27 17:15:41,159 basehttp 5484 11684 "GET /api/users/me/ HTTP/1.1" 200 119
INFO 2025-06-27 17:15:41,160 views 5484 11568 GuestViewSet.list called by user: test (Супер Админ)
INFO 2025-06-27 17:15:41,160 basehttp 5484 6060 "GET /api/rooms/ HTTP/1.1" 200 2
